Consignee_Name,Location,Company Website,Phone Numbers,Email
ROYAL DOHA TRADING WLL,Qatar,https://royaldohatrading.com/contact.php,,
Al Tayeb Distribution, United Arab Emirates,https://www.altayeb.ae/,,
MS DATAR SONS LIMITED LLC,United Arab Emirates,https://datarspices.ae/contact-us,,
Indya Foods Pty Ltd,Australia,https://www.indyafoods.com.au/,,
Harman Impex NZ Ltd, New Zealand,https://harmanimpexnz.com/contact-us/,,
Prince Foods UK Ltd, United Kingdom,https://www.princes.co.uk/contact-us/,,
Orma Plaza Gen Trad Co W L L, Kuwait,https://globaltradeplaza.com/member/orma-plaza-gen-trad-co-w-l-l,,
Abdul Aziz S Al Sebaie Sons Co, Kuwait,https://www.aalghanim.com/,,
House of Spices India Inc,United States,https://www.hosindia.com/contactus,,
Ruby S Food Products Ltd, United Kingdom,https://rubysfoodproducts.com/,,
House of Spices India Inc, United States,https://www.hosindia.com/contactus,,
Super Foods, Bahrain,https://gramisuperfoods.com/?srsltid=afmbooqlo6fjpmnsybf6jk_sm-3_pctffmid8kbv-tirovt14pavebrv,,
LULU SAUDI HYPERMARKETS LLC, Saudi Arabia,https://www.luluhypermarket.com/en-sa/,,
Tasty Food International Trading LLC, United Arab Emirates,https://tastyfood.ae/contact-us/?srsltid=afmboophcliyccfpolf2qoovy7bkowaoh9prim2inwvkrtfl8uxhjsvx,,
Baniyas Spike Trading Co LLC, United Arab Emirates,https://baniyasspikegroupllc.com/,,
PRIME FOOD PRODUCTS LTD, United Kingdom,https://primefoods.us/employment/,,
EXIMTICS INTERNATIONAL PVT LTD, Maldives,https://www.eximtics.com/contact-us/,,
Ansell Dellis Company Limited, Nigeria,https://www.ansell.com/ph/en/about-us,,
A S T Private Limited, Nepal,http://alliedchem.org/contact/,,
Al Maya International WLL, Bahrain,https://www.almaya.ae/bahrain/contact-us.php,,
Datar and Sons Ltd L L C, Oman,https://datarspices.ae/contact-us/,,
MSAL Rawabi Foodstuff, Qatar,https://www.alrawabigroup.com/,,
GAMEBOY GENERAL TRADING, United Arab Emirates,https://www.reachuae.com/brands/game-boy-b9905,,
Falcon Global Arabian Trading, Saudi Arabia,https://falconglobalonline.com/headoffice.php,,
Lo Sons Foods International, Canada,https://www.loandsons.com/?srsltid=afmboopzfbyhuzqyomed9rntbhoegbm9zqqicpw8pmzna5fb-3r9qd5f,,
TRS Wholesale Company Limited, Netherlands,https://www.trsfood.com/contact-us/,,
Spice Home, Japan,https://sakaispice.com/about-us,,
Falcon Global Arabian Trading, Saudi Arabia,https://falconglobalonline.com/headoffice.php,,
Top-Op Foods Ltd, United Kingdom,https://www.top-op.com/,,
Alzabidi Trading Co MFZ L L C, Oman,,,
BLACK LINE GENERAL TRADING, United Arab Emirates,https://www.blacklineuae.com/,,
SPICE CITY TRADING CO, Saudi Arabia,https://www.spicytradeco.com/,,
HIGHRANGE IMPORTS NZ LIMITED, New Zealand,https://www.facebook.com/permalink.php/?story_fbid=122116783280485569&id=61564567091049,,
VELS SPICES PTY LTD, Australia,https://velspices.com.au/pages/contact?srsltid=afmboorphzd-wwbgzz63tzv49n85i9jxhoraelr39ft2yfpm4xpnfvax,,
ES Food Industries Sdn Bhd, Sri Lanka,https://www.kerrylogistics.com/,,
Heritage Food Mart WLL, Qatar,https://www.facebook.com/heritagefoodmart/,,
SUNDINE PRODUCE INC, Canada,https://sundineproduce.com/,,
Saraya Distribution L L C, Oman,https://www.sarayaoman.com/,,
Contil Canada Ltd, Canada,https://contilgroup.com/contact,,
River Side Burgeon Inc, Canada,https://www.riversideburgeon.com/contact.html,,
M s MFB FOODS WLL, Bahrain,https://msglobalfood.com/contact-us/,,
Sabrini Foods Pty Ltd, Australia,https://www.sabrinifoods.com/,,
Marufa Enterprise, Bangladesh,https://www.linkedin.com/in/marufa-khanom-952885159,,
SHARAFIYA TRADING FOR FOOD STUFF L, Saudi Arabia,https://sharafiyafmcgtrading.com/contact,,
Gobind Sweets, Australia,https://gobindsweets.shop/,,
Aly Export Pty Ltd, Australia,https://www.aigroup.com.au/,,
Bains Wholesale Foods Ltd, Canada,https://www.seair.co.in/us-importers/bains-wholesale-food-ltd.aspx,,
Lebanese Fruit Co LLC LIFCO, United Arab Emirates,https://www.lifco-group.com/about-us/,,
Ogab Hamoud Al Malek Trading Co WLL, Kuwait,http://ogab-hamoud-al-malek-tr.kuwaitbd.com/contact_us,,
Qaisar Foodstuff Co, Kuwait,https://hussain-qaisar.com/contacts/,,
MS MAXWELL DISTRIBUTORS PTY LIMITED, Australia,https://www.ambuusa.com/local-distributors,,
Dhillon Group of Companies Ltd, Hong Kong,https://globaltradeplaza.com/member/dhillon-group-of-companies-ltd,,
SUNDINE PRODUCE INC, Canada,https://sundineproduce.com/,,
SSR Tradings Pte Ltd, Singapore,https://ssrindiansnacks.com/index.php?route=information/contact,,
Desert Rose General Trading Co WLL, Kuwait,https://desertrose.qa/contact-us/,,
ELEGANCE FOODS SUPPLIES EU LTD, Ireland,https://elegancefoodsukltdworldwide.uk/contact/,,
GODREJ HOUSEHOLD PRODUCTS LANKA PV T LIMITED, Sri Lanka,https://www.godrejsrilanka.com/contact-us,,
SUNDINE PRODUCE INC, Canada,https://sundineproduce.com/,,
FOOD SOLUTION ENGLAND LTD, United Kingdom,https://www.totalfoodsolutions.org/,,
Sabina Enterprise, Bangladesh,https://www.sabinaenterprises.com/molds,,
GECO INTERNATIONAL LTD, United Kingdom,https://geco-trade.com/,,
ES FOOD INDUSTRIES SDN BHD, Malaysia,https://www.malaysiabusinessgroup.com/our-members/all/item/es-food-industries-sdn-bhd,,
SMART FOOD TRADING LLC, United Arab Emirates,https://smartfood.ae/,,
MZ Holdings Ltd, New Zealand,https://mzholdings.co.nz/,,
MAJESTIC STORES TRADING CO, Saudi Arabia,https://majestic.com.sa/,,
Belad Alsafwa for General Trading Ltd, Iraq,https://basafwa.com/,,
Aiva Products, United States,https://www.aivaproducts.com/pages/contact-us?srsltid=afmboorkunuczlfgukd4l8pr1dqtab6wnjfldiyukrjjxtvehkugekpz,,
Chetak Melbourne, Australia,,,
ASIAN BISCUIT AND CONFECTIONERY P LIMITED, Nepal,https://www.shardagroup.com/biscuitsandconfectionery.php,,
Multiplex International LLC, United Arab Emirates,https://www.multiplexinternational.com/contact-us/,,
MZ Holdings Ltd, Auckland,https://mzholdings.co.nz/,,
P B Foods Ltd, United Kingdom,https://www.heerafoods.com/contact/,,
Prime Trading Co. LLC, Oman,https://www.primetrading.co.om/contact/,,
Prince Foods UK Ltd, United States,https://www.princes.co.uk/contact-us/,,
Red Wave Pvt Ltd, Male,https://www.redwavemaldives.com/about.html,,
Roshni Foods, United States,https://www.roshnifoods.com/contact.php,,
Sara Traders Pte Ltd, Singapore,https://en.52wmb.com/buyer/183220566,,
Shana Foods Ltd, Wembley,https://shanafoods.ca/contact,,
Shree Dhana Food Industries Sdn Bhd, Klang,https://shreedhanasfood.com/,,
Siy Distribution Sdn Bhd, Malaysia,https://businessreport.ctoscredit.com.my/oneoffreport_api/single-report/malaysia-company/1346113x/siy-distribution-sdn-bhd-,,
SNEHA VENTURES PTE LTD, Singapore,https://www.satvikstore.com/en/contact-us,,
Sofan Trading, Oman,https://sofantrading.com/,,
Sonnamera Pte Ltd, Singapore,https://www.adapt.io/company/sonnamera-com-sg,,
SPICEWAY WHOLESALE LIMITED, United Kingdom,https://spiceway.uk/contact-us/,,
Yaquby International, Bahrain,https://www.yaquby-international.com/contact-us.php,,
World Timber Corp, Hubert,https://www.worldtimbercorp.com/,,
VATAN SE TRADING PTE LTD, Singapore,https://en.52wmb.com/buyer/26131494,,
UNITED OVERSEAS BANK, Mala,https://wise.com/us/swift-codes/uovbmyklxxx,,
United Foods Sweden AB, Sweden,https://www.business-sweden.com/contact/,,
Ultra International B.V., Netherlands,https://ultranl.com/contacts/,,
Griffith Foods, Canada,https://griffithfoods.com/contact-us/,,
Snackstar, Delhi,https://snackstar.in/pages/contact-us,,
Yummy Bazar, New Jersey,https://yummybazaar.com/,,
BAKKAL INTERNATIONAL FOODS, Atlanta,https://www.bakkalinternational.com/contactus-2?srsltid=afmboopyzkz7y5pdkeqwszvly2n4lxfmexbsgvzp6g9wqmxbycck53vi,,
World Food Shop, Wellingborough,https://www.worldfoodshop.com/pages/contact-us?srsltid=afmbooramzuqdkz6lnz8iujffjyoptssimh4kot3x25oslde06w4xvan,,
BritSuperstore, United Kingdom,https://www.britsuperstore.com/uk/contacts?srsltid=afmboopzy9akrpmj5sg91ntnsjqdtcsawkrvwemwubbdrtq8izlqin_7,,
International Groceries, Queensland,https://internationalgroceries.com.au/,,
USA Foods, Melbourne,https://usafoods.com.au/?srsltid=afmbooqnjyq1i7lfj3e-ofxrrwcblxnfbtrlj949tmhw1g4sex5be6z4,,
KG Foods, Melbourne,https://www.kgfoods.com.au/contact,,
General Mills, United States,https://www.generalmills.com/,,
